ABILITY_MORPH_RANK, string
ABILITY_PROGRESSION_RESULT_ABILITY_NOT_KNOWN, string
ABILITY_PROGRESSION_RESULT_INVALID_LINE, string
ABILITY_PROGRESSION_RESULT_MORPH_CHOSEN, string
ABILITY_PROGRESSION_RESULT_MORPH_NOT_CHOSEN, string
ABILITY_PROGRESSION_RESULT_NOT_ENOUGH_MONEY, string
ABILITY_PROGRESSION_RESULT_NOT_HIGH_ENOUGH_LEVEL, string
ABILITY_PROGRESSION_RESULT_NO_MORE_UPGRADES, string
ABILITY_PROGRESSION_RESULT_NO_SKILL_POINTS, string
ABILITY_PROGRESSION_RESULT_NO_VALID_UPGRADE, string
ABILITY_PROGRESSION_RESULT_SUCCESS, string
ABILITY_PROGRESSION_RESULT_TOO_LOW_LEVEL, string
ABILITY_SLOT_TYPE_ACTIONBAR, string
ABILITY_SLOT_TYPE_QUICKSLOT, string
ABILITY_TOOLTIP_TEXT_COLOR_ABILITY_INFO, string
ABILITY_TOOLTIP_TEXT_COLOR_BODY, string
ABILITY_TOOLTIP_TEXT_COLOR_BRONZE_ABILITY, string
ABILITY_TOOLTIP_TEXT_COLOR_DEFAULT, string
ABILITY_TOOLTIP_TEXT_COLOR_FAILED_REQUIREMENT, string
ABILITY_TOOLTIP_TEXT_COLOR_GOLD_ABILITY, string
ABILITY_TOOLTIP_TEXT_COLOR_NAME, string
ABILITY_TOOLTIP_TEXT_COLOR_NEW_EFFECT, string
ABILITY_TOOLTIP_TEXT_COLOR_SILVER_ABILITY, string
ABILITY_TOOLTIP_TEXT_COLOR_SPECIAL_HEADER, string
ABILITY_TOOLTIP_TEXT_COLOR_UPGRADES, string
ABILITY_TOOLTIP_TEXT_COLOR_UPGRADE_TO_ABILITY, string
ABILITY_TOOLTIP_TEXT_COLOR_USE_INFO_TYPE1, string
ABILITY_TOOLTIP_TEXT_COLOR_USE_INFO_TYPE2, string
ABILITY_TOOLTIP_TEXT_COLOR_USE_INFO_TYPE3, string
ABILITY_TOOLTIP_TEXT_COLOR_VALID_REQUIREMENT, string
ABILITY_TYPE_ACTIONLIST, string
ABILITY_TYPE_AREAEFFECT, string
ABILITY_TYPE_ATTACKERINTERCEPT, string
ABILITY_TYPE_ATTACKERREFLECT, string
ABILITY_TYPE_AVOIDDEATH, string
ABILITY_TYPE_BLADETURN, string
ABILITY_TYPE_BLINK, string
ABILITY_TYPE_BLOCK, string
ABILITY_TYPE_BONUS, string
ABILITY_TYPE_CHANGEAPPEARANCE, string
ABILITY_TYPE_CHARGE, string
ABILITY_TYPE_CHARM, string
ABILITY_TYPE_CLAIRVOYANCE, string
ABILITY_TYPE_CLIENTFX, string
ABILITY_TYPE_COMBATRESOURCE, string
ABILITY_TYPE_CREATEINTERACTABLE, string
ABILITY_TYPE_CREATEINVENTORYITEM, string
ABILITY_TYPE_DAMAGE, string
ABILITY_TYPE_DAMAGELIMIT, string
ABILITY_TYPE_DAMAGESHIELD, string
ABILITY_TYPE_DEFEND, string
ABILITY_TYPE_DESPAWNOVERRIDE, string
ABILITY_TYPE_DISARM, string
ABILITY_TYPE_DISORIENT, string
ABILITY_TYPE_DISPEL, string
ABILITY_TYPE_DODGE, string
ABILITY_TYPE_DOUBLEFIRE, string
ABILITY_TYPE_EXHAUSTED, string
ABILITY_TYPE_FEAR, string
ABILITY_TYPE_FILLSOULGEM, string
ABILITY_TYPE_FIREPROC, string
ABILITY_TYPE_FLIGHT, string
ABILITY_TYPE_FREECAST, string
ABILITY_TYPE_FREEINTERACT, string
ABILITY_TYPE_GRANTABILITY, string
ABILITY_TYPE_HEAL, string
ABILITY_TYPE_IMMUNITY, string
ABILITY_TYPE_INTERCEPT, string
ABILITY_TYPE_JUMP, string
ABILITY_TYPE_LEAP, string
ABILITY_TYPE_LEVITATE, string
ABILITY_TYPE_MISDIRECT, string
ABILITY_TYPE_MODIFYCOOLDOWN, string
ABILITY_TYPE_MOUNT, string
ABILITY_TYPE_MOVEPOSITION, string
ABILITY_TYPE_NOAGGRO, string
ABILITY_TYPE_NOKILL, string
ABILITY_TYPE_NOLOCKPICK, string
ABILITY_TYPE_NONCOMBATBONUS, string
ABILITY_TYPE_NONE, string
ABILITY_TYPE_NONEXISTENT, string
ABILITY_TYPE_NOSEETARGET, string
ABILITY_TYPE_OFFBALANCE, string
ABILITY_TYPE_PACIFY, string
ABILITY_TYPE_PATHLINE, string
ABILITY_TYPE_RECALL, string
ABILITY_TYPE_REFLECTION, string
ABILITY_TYPE_REGISTERTRIGGER, string
ABILITY_TYPE_REMOVETYPE, string
ABILITY_TYPE_RESURRECT, string
ABILITY_TYPE_REVEAL, string
ABILITY_TYPE_SEESTEALTH, string
ABILITY_TYPE_SETCOOLDOWN, string
ABILITY_TYPE_SETHOTBAR, string
ABILITY_TYPE_SETTARGET, string
ABILITY_TYPE_SHOWNON, string
ABILITY_TYPE_SIEGEAREAEFFECT, string
ABILITY_TYPE_SIEGECREATE, string
ABILITY_TYPE_SIEGEPACKUP, string
ABILITY_TYPE_SILENCE, string
ABILITY_TYPE_SLOWFALL, string
ABILITY_TYPE_SNARE, string
ABILITY_TYPE_SOULGEMRESURRECT, string
ABILITY_TYPE_STAGGER, string
ABILITY_TYPE_STEALTH, string
ABILITY_TYPE_STUN, string
ABILITY_TYPE_SUMMON, string
ABILITY_TYPE_THREAT, string
ABILITY_TYPE_TRAUMA, string
ABILITY_TYPE_UPDATEDEATHDIALOG, string
ABILITY_TYPE_VAMPIRE, string
ABILITY_TYPE_WIND, string
ACCOUNT_CREATE_LINK_ERROR_ACCOUNT_BANNED, string
ACCOUNT_CREATE_LINK_ERROR_ACCOUNT_DELETED, string
ACCOUNT_CREATE_LINK_ERROR_ACCOUNT_NOT_FOUND, string
ACCOUNT_CREATE_LINK_ERROR_ACCOUNT_NOT_VERIFIED, string
ACCOUNT_CREATE_LINK_ERROR_EMAIL_EXISTS, string
ACCOUNT_CREATE_LINK_ERROR_EMAIL_FORMAT_INVALID, string
ACCOUNT_CREATE_LINK_ERROR_INVALID_CREDENTIALS, string
ACCOUNT_CREATE_LINK_ERROR_INVALID_PARAM, string
ACCOUNT_CREATE_LINK_ERROR_INVALID_TRANSFER_SKU, string
ACCOUNT_CREATE_LINK_ERROR_NO_ERROR, string
ACCOUNT_CREATE_LINK_ERROR_UNKNOWN_ERROR, string
ACCOUNT_CREATE_LINK_ERROR_USER_ALREADY_LINKED1, string
ACCOUNT_CREATE_LINK_ERROR_USER_ALREADY_LINKED2, string
ACHIEVEMENTS, string
ACHIEVEMENTS_FRAGMENT, string
ACHIEVEMENTS_GAMEPAD, string
ACHIEVEMENTS_GAMEPAD_SCENE, string
ACHIEVEMENT_LINK_TYPE, string
ACHIEVEMENT_POINT_HIGH, string
ACHIEVEMENT_POINT_LEGENDARY_DEED, string
ACHIEVEMENT_POINT_LOW, string
ACHIEVEMENT_POINT_MEDIUM, string
ACHIEVEMENT_POINT_VERY_HIGH, string
ACHIEVEMENT_REWARD_TYPE_DYE, string
ACHIEVEMENT_REWARD_TYPE_ITEM, string
ACHIEVEMENT_REWARD_TYPE_NONE, string
ACHIEVEMENT_REWARD_TYPE_POINTS, string
ACHIEVEMENT_REWARD_TYPE_TITLE, string
ACTION_BAR_CLASS_BAR_SIZE, string
ACTION_BAR_EMOTE_QUICK_SLOT_SIZE, string
ACTION_BAR_FIRST_EMOTE_QUICK_SLOT_INDEX, string
ACTION_BAR_FIRST_LOCKED_SLOT, string
ACTION_BAR_FIRST_NORMAL_SLOT_INDEX, string
ACTION_BAR_FIRST_SIEGE_BAR_SLOT, string
ACTION_BAR_FIRST_UTILITY_BAR_SLOT, string
ACTION_BAR_FIRST_WEAPON_SLOT_INDEX, string
ACTION_BAR_FRAGMENT, string
ACTION_BAR_LAST_MAIN_BAR_SLOT, string
ACTION_BAR_LAST_WEAPON_SLOT_INDEX, string
ACTION_BAR_NUM_PAGES, string
ACTION_BAR_NUM_SLOTS, string
ACTION_BAR_QUICK_SLOT_INDEX, string
ACTION_BAR_SETTING_CHOICE_AUTOMATIC, string
ACTION_BAR_SETTING_CHOICE_OFF, string
ACTION_BAR_SETTING_CHOICE_ON, string
ACTION_BAR_SETTING_LOCK_ACTION_BARS, string
ACTION_BAR_SIEGE_BAR_SIZE, string
ACTION_BAR_SLOTS_PER_PAGE, string
ACTION_BAR_UTILITY_BAR_SIZE, string
ACTION_BUTTON_TYPE_HIDDEN, string
ACTION_BUTTON_TYPE_LOCKED, string
ACTION_BUTTON_TYPE_VISIBLE, string
ACTION_RESULT_ABILITY_ON_COOLDOWN, string
ACTION_RESULT_ABSORBED, string
ACTION_RESULT_BAD_TARGET, string
ACTION_RESULT_BATTLE_STANDARDS_DISABLED, string
ACTION_RESULT_BATTLE_STANDARD_ALREADY_EXISTS_FOR_GUILD, string
ACTION_RESULT_BATTLE_STANDARD_LIMIT, string
ACTION_RESULT_BATTLE_STANDARD_NO_PERMISSION, string
ACTION_RESULT_BATTLE_STANDARD_TABARD_MISMATCH, string
ACTION_RESULT_BATTLE_STANDARD_TOO_CLOSE_TO_CAPTURABLE, string
ACTION_RESULT_BEGIN, string
ACTION_RESULT_BEGIN_CHANNEL, string
ACTION_RESULT_BLADETURN, string
ACTION_RESULT_BLOCKED, string
ACTION_RESULT_BLOCKED_DAMAGE, string
ACTION_RESULT_BUSY, string
ACTION_RESULT_CANNOT_USE, string
ACTION_RESULT_CANT_SEE_TARGET, string
ACTION_RESULT_CANT_SWAP_WHILE_CHANGING_GEAR, string
ACTION_RESULT_CASTER_DEAD, string
ACTION_RESULT_CRITICAL_DAMAGE, string
ACTION_RESULT_CRITICAL_HEAL, string
ACTION_RESULT_DAMAGE, string
ACTION_RESULT_DAMAGE_SHIELDED, string
ACTION_RESULT_DEFENDED, string
ACTION_RESULT_DIED, string
ACTION_RESULT_DIED_XP, string
ACTION_RESULT_DISARMED, string
ACTION_RESULT_DISORIENTED, string
ACTION_RESULT_DODGED, string
ACTION_RESULT_DOT_TICK, string
ACTION_RESULT_DOT_TICK_CRITICAL, string
ACTION_RESULT_EFFECT_FADED, string
ACTION_RESULT_EFFECT_GAINED, string
ACTION_RESULT_EFFECT_GAINED_DURATION, string
ACTION_RESULT_FAILED, string
ACTION_RESULT_FAILED_REQUIREMENTS, string
ACTION_RESULT_FAILED_SIEGE_CREATION_REQUIREMENTS, string
ACTION_RESULT_FALLING, string
ACTION_RESULT_FALL_DAMAGE, string
ACTION_RESULT_FEARED, string
ACTION_RESULT_FORWARD_CAMP_ALREADY_EXISTS_FOR_GUILD, string
ACTION_RESULT_FORWARD_CAMP_NO_PERMISSION, string
ACTION_RESULT_FORWARD_CAMP_TABARD_MISMATCH, string
ACTION_RESULT_GRAVEYARD_DISALLOWED_IN_INSTANCE, string
ACTION_RESULT_GRAVEYARD_TOO_CLOSE, string
ACTION_RESULT_HEAL, string
ACTION_RESULT_HOT_TICK, string
ACTION_RESULT_HOT_TICK_CRITICAL, string
ACTION_RESULT_IMMUNE, string
ACTION_RESULT_INSUFFICIENT_RESOURCE, string
ACTION_RESULT_INTERCEPTED, string
ACTION_RESULT_INTERRUPT, string
ACTION_RESULT_INVALID, string
ACTION_RESULT_INVALID_FIXTURE, string
ACTION_RESULT_INVALID_JUSTICE_TARGET, string
ACTION_RESULT_INVALID_TERRAIN, string
ACTION_RESULT_IN_AIR, string
ACTION_RESULT_IN_COMBAT, string
ACTION_RESULT_IN_ENEMY_KEEP, string
ACTION_RESULT_KILLED_BY_SUBZONE, string
ACTION_RESULT_KILLING_BLOW, string
ACTION_RESULT_KNOCKBACK, string
ACTION_RESULT_LEVITATED, string
ACTION_RESULT_LINKED_CAST, string
ACTION_RESULT_MERCENARY_LIMIT, string
ACTION_RESULT_MISS, string
ACTION_RESULT_MISSING_EMPTY_SOUL_GEM, string
ACTION_RESULT_MISSING_FILLED_SOUL_GEM, string
ACTION_RESULT_MOBILE_GRAVEYARD_LIMIT, string
ACTION_RESULT_MOUNTED, string
ACTION_RESULT_MUST_BE_IN_OWN_KEEP, string
ACTION_RESULT_NOT_ENOUGH_INVENTORY_SPACE, string
ACTION_RESULT_NOT_ENOUGH_SPACE_FOR_SIEGE, string
ACTION_RESULT_NO_LOCATION_FOUND, string
ACTION_RESULT_NO_RAM_ATTACKABLE_TARGET_WITHIN_RANGE, string
ACTION_RESULT_NO_WEAPONS_TO_SWAP_TO, string
ACTION_RESULT_NPC_TOO_CLOSE, string
ACTION_RESULT_OFFBALANCE, string
ACTION_RESULT_PACIFIED, string
ACTION_RESULT_PARRIED, string
ACTION_RESULT_PARTIAL_RESIST, string
ACTION_RESULT_POWER_DRAIN, string
ACTION_RESULT_POWER_ENERGIZE, string
ACTION_RESULT_PRECISE_DAMAGE, string
ACTION_RESULT_QUEUED, string
ACTION_RESULT_RAM_ATTACKABLE_TARGETS_ALL_DESTROYED, string
ACTION_RESULT_RAM_ATTACKABLE_TARGETS_ALL_OCCUPIED, string
ACTION_RESULT_RECALLING, string
